measure,node,period_start,value,n,source_ref
osha_total_case_rate,DJ,2009-10-01,4.23,115299,osha:fy2010
osha_total_case_rate,DL,2009-10-01,1.94,16483,osha:fy2010
osha_total_case_rate,DN,2009-10-01,1.48,16650,osha:fy2010
osha_total_case_rate,ED,2009-10-01,0.78,4343,osha:fy2010
osha_total_case_rate,EP,2009-10-01,0.61,18835,osha:fy2010
osha_total_case_rate,GS,2009-10-01,1.09,12827,osha:fy2010
osha_total_case_rate,HE,2009-10-01,1.32,82129,osha:fy2010
osha_total_case_rate,HS,2009-10-01,6.12,186797,osha:fy2010
osha_total_case_rate,HU,2009-10-01,0.89,9742,osha:fy2010
osha_total_case_rate,IN,2009-10-01,5.39,81796,osha:fy2010
osha_total_case_rate,NF,2009-10-01,0.26,1527,osha:fy2010
osha_total_case_rate,NN,2009-10-01,0.41,18692,osha:fy2010
osha_total_case_rate,NQ,2009-10-01,2.83,3599,osha:fy2010
osha_total_case_rate,NU,2009-10-01,0.47,4234,osha:fy2010
osha_total_case_rate,NV,2009-10-01,2.61,195445,osha:fy2010
osha_total_case_rate,NV,2009-10-01,2.48,175405,osha:fy2010
osha_total_case_rate,OM,2009-10-01,1.06,6031,osha:fy2010
osha_total_case_rate,SB,2009-10-01,1.16,4221,osha:fy2010
osha_total_case_rate,SM,2009-10-01,2.83,5010,osha:fy2010
osha_total_case_rate,ST,2009-10-01,1.01,36762,osha:fy2010
osha_total_case_rate,SZ,2009-10-01,1.25,69600,osha:fy2010
osha_total_case_rate,TD,2009-10-01,1.57,57819,osha:fy2010
osha_total_case_rate,TR,2009-10-01,1.15,116375,osha:fy2010
osha_total_case_rate,VA,2009-10-01,3.74,304559,osha:fy2010
osha_lost_time_case_rate,AF,2010-10-01,1.31,176192,osha:fy2011
osha_lost_time_case_rate,AG,2010-10-01,1.65,95493,osha:fy2011
osha_lost_time_case_rate,AR,2010-10-01,1.34,295849,osha:fy2011
osha_lost_time_case_rate,CM,2010-10-01,0.63,46945,osha:fy2011
osha_lost_time_case_rate,DJ,2010-10-01,2.24,118923,osha:fy2011
osha_lost_time_case_rate,DL,2010-10-01,0.69,17360,osha:fy2011
osha_lost_time_case_rate,DN,2010-10-01,0.47,16145,osha:fy2011
osha_lost_time_case_rate,ED,2010-10-01,0.4,4477,osha:fy2011
osha_lost_time_case_rate,EP,2010-10-01,0.27,18740,osha:fy2011
osha_lost_time_case_rate,GS,2010-10-01,0.48,12820,osha:fy2011
osha_lost_time_case_rate,HE,2010-10-01,0.59,85451,osha:fy2011
osha_lost_time_case_rate,HS,2010-10-01,2.42,195653,osha:fy2011
osha_lost_time_case_rate,HU,2010-10-01,0.49,9768,osha:fy2011
osha_lost_time_case_rate,IN,2010-10-01,1.85,80156,osha:fy2011
osha_lost_time_case_rate,NF,2010-10-01,0.47,1476,osha:fy2011
osha_lost_time_case_rate,NN,2010-10-01,0.19,18696,osha:fy2011
osha_lost_time_case_rate,NQ,2010-10-01,1.71,3565,osha:fy2011
osha_lost_time_case_rate,NU,2010-10-01,0.36,4178,osha:fy2011
osha_lost_time_case_rate,NV,2010-10-01,1.33,200471,osha:fy2011
