year,agency,n_resp,wt_sum,eei,eei_leaders,eei_supervisors,eei_intrinsic,gsi,pci,exi,pp_recommend,pp_job_sat,pp_pay_sat,pp_org_sat,pp_encouraged,pp_workload,pp_skills,pp_perf_diff,pp_sat_recog,pp_recog_quality,leave_no,leave_other,leave_within,leave_outside,leave_any,leave_n_valid,leave_missing_pct,leave2020pre_other,leave2020pre_within,leave2020pre_outside
2021,DJ,15454,113925.0,65.04,51.85,74.89,68.36,59.51,78.23,,60.85,62.3,59.44,55.44,55.36,62.08,62.23,44.34,52.96,56.66,60.01,15.33,15.95,8.7,39.99,14145,8.47,,,
2021,DL,6872,13367.2,75.51,66.5,83.66,76.38,69.85,90.27,,71.46,72.49,66.95,68.5,66.22,60.71,69.47,59.86,65.81,69.96,68.39,11.08,16.58,3.95,31.61,6395,6.94,,,
2021,DN,7980,12608.8,77.28,66.71,86.18,78.95,72.05,91.45,,74.35,73.81,69.68,70.37,73.93,62.83,77.41,61.61,69.25,72.77,68.31,13.64,12.74,5.31,31.69,7668,3.91,,,
2021,DR,1071,1400.9,84.26,79.42,91.58,81.78,80.48,93.98,,88.32,81.62,69.72,82.25,73.65,70.02,84.49,70.83,78.31,81.94,73.25,10.79,10.69,5.26,26.75,1029,3.92,,,
2021,ED,2218,3705.2,75.66,64.94,85.02,77.02,69.56,90.11,,67.31,73.39,69.23,68.31,70.62,59.92,73.01,59.93,65.71,71.13,73.19,7.61,15.82,3.38,26.81,2099,5.37,,,
2021,EE,963,1809.2,79.76,74.02,84.19,81.08,75.38,90.99,,76.43,79.14,69.6,76.37,70.08,60.78,76.69,63.86,72.09,74.18,71.24,12.19,14.82,1.75,28.76,909,5.61,,,
2021,EP,6684,13860.2,78.05,68.37,86.05,79.73,74.41,90.83,,78.83,75.12,71.18,72.53,75.56,59.59,76.34,56.83,68.38,74.66,73.44,12.49,11.06,3.0,26.56,6337,5.19,,,
2021,GS,6651,11305.6,83.3,77.14,89.67,83.08,80.36,93.14,,84.97,81.12,74.41,80.94,79.75,69.43,83.8,67.54,74.94,79.47,75.43,9.62,11.93,3.02,24.57,6305,5.2,,,
2021,HE,19061,89059.5,77.4,69.54,83.2,79.45,72.46,89.72,,76.52,74.52,66.47,72.35,72.82,60.8,76.04,58.07,64.21,70.35,72.03,10.39,13.01,4.58,27.97,17962,5.77,,,
2021,HS,25638,204421.1,65.19,52.78,76.61,66.18,56.81,80.56,,57.49,60.2,56.68,52.86,53.28,62.86,60.14,44.16,50.03,54.02,63.09,14.0,17.76,5.15,36.91,24003,6.38,,,
