measure,node,period_start,value,n,source_ref
fevs_leave_outside,DLPW,2019-01-01,5.5,488,fevs:2019-prdf-level1
fevs_leave_within,DLPW,2019-01-01,19.6,488,fevs:2019-prdf-level1
fevs_engagement,DLSH,2019-01-01,70.7,1084,fevs:2019-prdf-level1
fevs_leave_any,DLSH,2019-01-01,30.9,1084,fevs:2019-prdf-level1
fevs_leave_other,DLSH,2019-01-01,10.6,1084,fevs:2019-prdf-level1
fevs_leave_outside,DLSH,2019-01-01,3.5,1084,fevs:2019-prdf-level1
fevs_leave_within,DLSH,2019-01-01,16.9,1084,fevs:2019-prdf-level1
fevs_engagement,DLSL,2019-01-01,71.2,405,fevs:2019-prdf-level1
fevs_leave_any,DLSL,2019-01-01,31.7,405,fevs:2019-prdf-level1
fevs_leave_other,DLSL,2019-01-01,8.9,405,fevs:2019-prdf-level1
fevs_leave_outside,DLSL,2019-01-01,7.9,405,fevs:2019-prdf-level1
fevs_leave_within,DLSL,2019-01-01,15.0,405,fevs:2019-prdf-level1
fevs_engagement,DLWH,2019-01-01,70.0,961,fevs:2019-prdf-level1
fevs_leave_any,DLWH,2019-01-01,30.4,961,fevs:2019-prdf-level1
fevs_leave_other,DLWH,2019-01-01,9.4,961,fevs:2019-prdf-level1
fevs_leave_outside,DLWH,2019-01-01,3.4,961,fevs:2019-prdf-level1
fevs_leave_within,DLWH,2019-01-01,17.6,961,fevs:2019-prdf-level1
fevs_engagement,DN00,2019-01-01,71.0,1324,fevs:2019-prdf-level1
fevs_leave_any,DN00,2019-01-01,31.8,1324,fevs:2019-prdf-level1
fevs_leave_other,DN00,2019-01-01,10.1,1324,fevs:2019-prdf-level1
fevs_leave_outside,DN00,2019-01-01,6.8,1324,fevs:2019-prdf-level1
fevs_leave_within,DN00,2019-01-01,14.9,1324,fevs:2019-prdf-level1
fevs_engagement,EDEN,2019-01-01,61.4,716,fevs:2019-prdf-level1
fevs_leave_any,EDEN,2019-01-01,43.1,716,fevs:2019-prdf-level1
fevs_leave_other,EDEN,2019-01-01,11.8,716,fevs:2019-prdf-level1
fevs_leave_outside,EDEN,2019-01-01,5.0,716,fevs:2019-prdf-level1
fevs_leave_within,EDEN,2019-01-01,26.3,716,fevs:2019-prdf-level1
fevs_engagement,HE13,2019-01-01,82.5,1269,fevs:2019-prdf-level1
fevs_leave_any,HE13,2019-01-01,17.3,1269,fevs:2019-prdf-level1
fevs_leave_other,HE13,2019-01-01,5.7,1269,fevs:2019-prdf-level1
fevs_leave_outside,HE13,2019-01-01,2.1,1269,fevs:2019-prdf-level1
fevs_leave_within,HE13,2019-01-01,9.5,1269,fevs:2019-prdf-level1
fevs_engagement,HE34,2019-01-01,79.3,1737,fevs:2019-prdf-level1
fevs_leave_any,HE34,2019-01-01,34.9,1737,fevs:2019-prdf-level1
fevs_leave_other,HE34,2019-01-01,7.5,1737,fevs:2019-prdf-level1
fevs_leave_outside,HE34,2019-01-01,2.7,1737,fevs:2019-prdf-level1
fevs_leave_within,HE34,2019-01-01,24.6,1737,fevs:2019-prdf-level1
fevs_engagement,HE36,2019-01-01,75.9,12250,fevs:2019-prdf-level1
fevs_leave_any,HE36,2019-01-01,24.7,12250,fevs:2019-prdf-level1
fevs_leave_other,HE36,2019-01-01,7.2,12250,fevs:2019-prdf-level1
fevs_leave_outside,HE36,2019-01-01,4.1,12250,fevs:2019-prdf-level1
fevs_leave_within,HE36,2019-01-01,13.3,12250,fevs:2019-prdf-level1
fevs_engagement,HE37,2019-01-01,65.5,8572,fevs:2019-prdf-level1
fevs_leave_any,HE37,2019-01-01,31.0,8572,fevs:2019-prdf-level1
fevs_leave_other,HE37,2019-01-01,12.8,8572,fevs:2019-prdf-level1
fevs_leave_outside,HE37,2019-01-01,4.7,8572,fevs:2019-prdf-level1
fevs_leave_within,HE37,2019-01-01,13.5,8572,fevs:2019-prdf-level1
fevs_engagement,HE38,2019-01-01,78.4,11025,fevs:2019-prdf-level1
fevs_leave_any,HE38,2019-01-01,27.2,11025,fevs:2019-prdf-level1
fevs_leave_other,HE38,2019-01-01,8.5,11025,fevs:2019-prdf-level1
fevs_leave_outside,HE38,2019-01-01,3.7,11025,fevs:2019-prdf-level1
